AoA,Cl,Cd,cm_x0.00,cm_x0.16,cm_x0.32,cm_x0.48,cm_x0.64,cm_x0.80,cm_x0.96,cm_x1.12,cm_x1.28,cm_x1.44,cm_x1.60
0,0.5448457,0.05853747,-0.09101397,0.05189637,0.1948067,0.337717,0.4806274,0.6235377,0.7664481,0.9093584,1.052269,1.195179,1.338089
5,0.8793464,0.08221938,-0.1169177,0.1147325,0.3463826,0.5780327,0.8096828,1.041333,1.272983,1.504633,1.736283,1.967933,2.199584
10,1.168582,0.1315828,-0.1343756,0.1734744,0.4813245,0.7891745,1.097025,1.404875,1.712725,2.020575,2.328425,2.636275,2.944125
15,1.410091,0.1992264,-0.1524134,0.2183687,0.5891508,0.9599329,1.330715,1.701497,2.072279,2.443061,2.813843,3.184626,3.555408
20,1.589742,0.2845684,-0.1781598,0.2392033,0.6565664,1.073929,1.491293,1.908656,2.326019,2.743382,3.160745,3.578108,3.995471
,,,,,,,,,,,,,
0,,,-0.09101397,-0.05189637,-0.1948067,-0.337717,-0.4806274,-0.6235377,-0.7664481,-0.9093584,-1.052269,-1.195179,-1.338089
5,,,-0.1169177,-0.1147325,-0.3463826,-0.5780327,-0.8096828,-1.041333,-1.272983,-1.504633,-1.736283,-1.967933,-2.199584
10,,,-0.1343756,-0.1734744,-0.4813245,-0.7891745,-1.097025,-1.404875,-1.712725,-2.020575,-2.328425,-2.636275,-2.944125
15,,,-0.1524134,-0.2183687,-0.5891508,-0.9599329,-1.330715,-1.701497,-2.072279,-2.443061,-2.813843,-3.184626,-3.555408
20,,,-0.1781598,-0.2392033,-0.6565664,-1.073929,-1.491293,-1.908656,-2.326019,-2.743382,-3.160745,-3.578108,-3.995471
